Grade,createdtime,gradePeople,name,piaofang,relativetime
9.0,2018-02-06 16:35:05.550091,26709,马戏之王,5679万,2018-02-01
9.5,2018-02-06 16:35:05.930430,32.4万,神秘巨星,5.98亿,2018-01-19
9.0,2018-02-06 16:35:09.435765,52299,南极之恋,1.03亿,2018-02-01 18:00
,2018-02-06 16:35:09.803110,,黑豹,,2018-03-09
8.0,2018-02-06 16:35:10.845868,54553,英雄本色2018,6275万,2018-01-18
7.9,2018-02-06 16:35:14.404966,8087,24小时：末路重生,960万,2018-01-26
9.2,2018-02-06 16:35:14.795857,914,小狗奶瓶,93万,2018-02-02
7.9,2018-02-06 16:35:16.163142,11337,麦兵兵之夺宝联“萌”,571万,2018-01-27
7.7,2018-02-06 16:35:17.090942,95240,星球大战：最后的绝地武士,2.68亿,2018-01-05
8.5,2018-02-06 16:35:17.811628,14702,坏爸爸,1836万,2018-02-02
,2018-02-06 16:35:19.323611,,泡芙小姐,,2018-02-09
9.1,2018-02-06 16:35:20.658748,63万,芳华,14.21亿,2017-12-15
7.4,2018-02-06 16:35:21.490729,928,莫斯科陷落,139万,2018-02-02
,2018-02-06 16:35:22.994861,,祖宗十九代,,2018-02-16
8.5,2018-02-06 16:35:24.050557,1578,狗狗的疯狂假期,492万,2018-02-02
8.6,2018-02-06 16:35:25.713516,19.1万,勇敢者游戏：决战丛林,4.84亿,2018-01-12
8.6,2018-02-06 16:35:26.766933,4806,金龟子,1447万,2018-02-02
9.2,2018-02-06 16:35:27.904130,48257,公牛历险记,1.51亿,2018-01-19
9.2,2018-02-06 16:35:29.443329,100.6万,前任3：再见前任,19.29亿,2017-12-29
,2018-02-06 16:35:30.788105,,红海行动,,2018-02-16
9.0,2018-02-06 16:35:32.153531,7640,小马宝莉大电影,2256万,2018-02-02
9.3,2018-02-06 16:35:33.437370,68431,奇迹男孩,1.61亿,2018-01-19
8.4,2018-02-06 16:35:34.468619,9223,忌日快乐,2323万,2018-02-02
9.1,2018-02-06 16:35:35.760201,21677,熊出没·变形记,4715万,2018-02-16
,2018-02-06 16:35:39.940267,,西游记女儿国,,2018-02-16
8.7,2018-02-06 16:35:40.247244,17294,浪矢解忧杂货店,2022万,2018-02-02
8.6,2018-02-06 16:35:41.399636,31.2万,无问西东,6.96亿,2018-01-12
,2018-02-06 16:35:42.318387,,唐人街探案2,,2018-02-16
7.8,2018-02-06 16:35:43.456131,80803,移动迷宫3：死亡解药,2.54亿,2018-01-26
,2018-02-06 16:35:44.889595,,捉妖记2,,2018-02-16 06:00
