Grade,bad,createdtime,good,gradePeople,name
98.8,1%,2018-02-06 16:47:21.122739,90%,105690,南极之恋
97.6,0%,2018-02-06 16:47:21.123861,96%,940614,神秘巨星
97.1,1%,2018-02-06 16:47:21.124657,92%,90441,马戏之王
96.5,2%,2018-02-06 16:47:21.125547,86%,29487,忌日快乐
95.8,3%,2018-02-06 16:47:21.126779,86%,1026247,无问西东
95.8,2%,2018-02-06 16:47:21.127705,89%,29798,浪矢解忧杂货店
94.1,6%,2018-02-06 16:47:21.128637,73%,296779,移动迷宫3：死亡解药
90.6,0%,2018-02-06 16:47:21.129772,96%,269035,奇迹男孩
88.4,1%,2018-02-06 16:47:21.130791,93%,229922,公牛历险记
88.3,2%,2018-02-06 16:47:21.131365,86%,664592,勇敢者游戏：决战丛林
,,2018-02-06 16:47:22.419685,,,西游记女儿国
,,2018-02-06 16:47:22.420674,,,唐人街探案2
,,2018-02-06 16:47:22.421415,,,捉妖记2
,,2018-02-06 16:47:22.422112,,,祖宗十九代
,,2018-02-06 16:47:22.422817,,,红海行动
,,2018-02-06 16:47:22.423920,,,泡芙小姐
,,2018-02-06 16:47:22.424747,,,动物世界
,,2018-02-06 16:47:22.425325,,,熊出没·变形记
,,2018-02-06 16:47:22.425900,,,黑豹(2018)
,,2018-02-06 16:47:22.426465,,,比得兔
